Y (mm),Density at X = 4.325 mm (atoms/mm³)
-7.209,9815750.595381279
-7.19565,3080744.53164216
-7.1823,-5304865.862534626
-7.16895,-9924283.627502365
-7.1556,7745479.155753172
-7.14225,8547298.822336582
-7.1289,4542185.552607519
-7.11555,-223127.13515604063
-7.1022,6556352.368743134
-7.08885,-9085729.48731191
-7.0755,-7324620.000184966
-7.062149999999999,-7860546.256978747
-7.048799999999999,-3608640.2128456878
-7.035449999999999,5917232.958251834
-7.022099999999999,-4481306.252874632
-7.008749999999999,15582780.772967987
-6.995399999999999,-63425251.72235182
-6.982049999999999,-180413934.94506675
-6.968699999999999,18406767.97216722
-6.955349999999999,-23368067.76371106
-6.941999999999999,-20779290.351825297
-6.928649999999999,-12717625.266356371
-6.915299999999999,-6142612.510551694
-6.901949999999999,-9754266.56722252
-6.888599999999999,-4050117.0944345505
-6.875249999999999,-7748411.647148843
-6.8618999999999994,-7062320.184037585
-6.8485499999999995,-1271715.4870415814
-6.8351999999999995,-5913603.644179379
-6.8218499999999995,-7257451.283911147
-6.8084999999999996,8907081.78890421
-6.79515,8936995.911762694
-6.7818,13467879.430308038
-6.76845,4102961.1284600645
-6.7551,-4789967.367227857
-6.74175,-4024016.3635679344
-6.7284,6314378.7339729965
-6.71505,-3789737.6315276846
-6.7017,2438502.814206743
-6.68835,11611662.495528178
-6.675,2068939.0733820326
-6.66165,-4517033.608288778
-6.6483,-4320032.193365167
-6.63495,-7701618.157874387
-6.6216,2806867.1231602393
-6.60825,-8282932.823093913
-6.594899999999999,-15869551.519115431
-6.581549999999999,-16888239.906206995
-6.568199999999999,-15828140.59187125
-6.554849999999999,-23221493.387387164
-6.541499999999999,-22033525.003721535
-6.528149999999999,-13221313.312568767
-6.514799999999999,-2642960.425979728
-6.501449999999999,-10313275.243486842
-6.488099999999999,-7743863.079935513
-6.474749999999999,-6634515.953668058
-6.461399999999999,-19039910.110550456
-6.448049999999999,-715946.9683633123
-6.434699999999999,-3190633.97328495
-6.4213499999999994,-14975194.254891906
-6.4079999999999995,-3190391.9857408535
-6.3946499999999995,358723.6214386884
-6.3812999999999995,1361416.4499228674
-6.3679499999999996,7241706.886270177
-6.3546,4489321.916866551
-6.34125,2195174.66642619
-6.3279,2396558.0154550215
-6.31455,6841110.851270905
-6.3012,24365036.88513358
-6.28785,11942494.984702827
-6.2745,487018.8818261703
-6.26115,3112897.0617950093
-6.2478,-7193931.562457583
-6.23445,-9053581.561097952
-6.2211,515952.13092447654
-6.20775,-1448364.7963493248
-6.1944,-18699488.57585747
-6.18105,-17363627.613851063
-6.1677,-11715524.191417491
-6.15435,-11377359.684153516
-6.140999999999999,-14005624.34507681
-6.127649999999999,-18685086.950782277
-6.114299999999999,-14362058.393581724
-6.100949999999999,-9694719.446965562
-6.087599999999999,-13223172.810202941
-6.074249999999999,-1974716.014165212
-6.060899999999999,-16009766.816256722
-6.047549999999999,-3906014.8347832668
-6.034199999999999,-1260049.8516771586
-6.020849999999999,-5700187.207488686
-6.007499999999999,-15399124.388955263
-5.994149999999999,-17275518.7810974
-5.9807999999999995,-23700051.377544735
-5.9674499999999995,-11355890.215606323
-5.9540999999999995,3250378.592835156
-5.9407499999999995,11205996.18935396
-5.9274,14907089.28816654
-5.91405,15950738.52980317
-5.9007,-13222384.775977092
-5.88735,-25419483.15999553
-5.874,-40107667.39032439
-5.86065,-33310118.545193084
-5.8473,-27408633.010615006
-5.83395,-22131879.37381096
-5.8206,-15743191.70482346
-5.80725,692147.1628604915
-5.7939,16040301.357421115
-5.78055,-783497.6754463657
-5.7672,2036745.125464528
-5.75385,10670219.718641376
-5.7405,-13532788.493676651
-5.72715,-10501351.238894965
-5.7138,-12692799.405750277
-5.70045,-1480350.5710923066
-5.687099999999999,-13114450.893313296
-5.673749999999999,-8049387.40714308
-5.660399999999999,5717463.007771054
-5.647049999999999,4646358.466406983
-5.633699999999999,1006227.3125270108
-5.620349999999999,4917223.260842696
-5.606999999999999,-10857061.020768972
-5.593649999999999,-9187927.796108877
-5.580299999999999,-10484889.267449394
-5.566949999999999,5575996.588466238
-5.553599999999999,8851105.139327666
-5.5402499999999995,-10049886.297276486
-5.5268999999999995,-10322689.88351092
-5.5135499999999995,4495514.121617884
-5.5001999999999995,23107763.571810663
-5.48685,24936990.770130984
-5.4735,29698594.48411188
-5.46015,4559508.560812372
-5.4468,5627900.356762235
-5.43345,13831500.304081336
-5.4201,16716753.973561684
-5.40675,6359090.395477517
-5.3934,-2740164.4338421226
-5.38005,-16588918.824382246
-5.3667,-27560577.48376514
-5.35335,-23818457.65775615
-5.34,-24287573.735689033
-5.32665,-15276239.055380475
-5.3133,855621.3676140568
-5.29995,-17560773.964955386
-5.2866,-2453142.31224624
-5.27325,6574842.882780473
-5.2599,-385396.7121255637
-5.24655,-18989860.59038465
-5.233199999999999,-22652899.218001865
-5.219849999999999,-11586230.06083712
-5.206499999999999,20790564.58123546
-5.193149999999999,22351673.31295134
-5.179799999999999,17151890.377751365
-5.166449999999999,10335142.596481457
-5.153099999999999,-9496827.789473416
-5.139749999999999,-6371899.926932519
-5.126399999999999,-22908146.179486368
-5.113049999999999,-9670695.46896803
-5.0996999999999995,-15353219.899584878
-5.0863499999999995,-12133737.318991099
-5.0729999999999995,5906059.069324294
-5.0596499999999995,4067827.2439287896
-5.0463,-13797340.507338148
-5.03295,-28178099.952630866
-5.0196,-15612953.862178579
-5.00625,-7805857.56655864
-4.9929,-12596927.150831282
-4.97955,-243215.59549389343
-4.9662,28935560.31826288
-4.95285,39146961.8374339
-4.9395,31843138.20686188
-4.92615,-11217147.788569212
-4.9128,8311540.103671966
-4.89945,1713976.4905747403
-4.8861,3427311.899541297
-4.87275,-13998793.07493719
-4.8594,-5790266.198727026
-4.84605,-5814866.136825368
-4.8327,-1800445.8254266765
-4.81935,3778276.856784784
-4.806,2578241.673940881
-4.79265,-2523808.8124007
-4.779299999999999,4999612.711358152
-4.765949999999999,10177706.223955799
-4.752599999999999,17075343.0846127
-4.739249999999999,8524032.579697719
-4.725899999999999,951397.9737572102
-4.712549999999999,-4136542.990832532
-4.699199999999999,-8152473.3594264425
-4.685849999999999,-9374463.615204345
-4.672499999999999,-9729258.927719962
-4.6591499999999995,-9396143.291790595
-4.6457999999999995,5598441.450880908
-4.6324499999999995,-3026446.0575020085
-4.6190999999999995,7259924.357911376
-4.60575,11252692.939450117
-4.5924,-7542490.251233468
-4.57905,-1424446.0752133837
-4.5657,-8012375.210921047
-4.55235,3074724.5433001947
-4.539,25872327.254192416
-4.52565,21919605.330646478
-4.5123,5142757.151341028
-4.49895,-9928388.260742301
-4.4856,-8332998.185317176
-4.47225,-8825319.767831236
-4.4589,-3767932.594299104
-4.44555,2131710.7302620606
-4.4322,758315.792974174
-4.41885,8907491.51145035
-4.4055,-218699.63615727407
-4.39215,13651163.93313409
-4.3788,18394842.79403092
-4.36545,-998281.8969967396
-4.3521,-21350969.88576297
-4.33875,-10058108.11927994
-4.325399999999999,-5428143.33517729
-4.312049999999999,901658.6476834238
-4.298699999999999,-1385472.4018617806
-4.285349999999999,-4699425.533662851
-4.271999999999999,-3936175.7477002167
-4.258649999999999,627432.6424132261
-4.245299999999999,-9854632.95147121
-4.231949999999999,-14501424.562539367
-4.2185999999999995,-3434025.9904673956
-4.2052499999999995,-6656127.472506392
-4.1918999999999995,-13456985.658406144
-4.1785499999999995,2055924.983237244
-4.1652,-3201294.306252769
-4.15185,-13484971.705807438
-4.1385,-22665713.607110824
-4.12515,-11513856.444400912
-4.1118,-4237315.606535973
-4.09845,-1479710.1057598786
-4.0851,13506582.670847358
-4.07175,1367921.83653055
-4.0584,-4002001.816111606
-4.04505,-2935850.2007100726
-4.0317,-6580159.969185943
-4.01835,5150854.928621369
-4.005,390577.8886404167
-3.99165,-10098970.995855447
-3.9782999999999995,-7838501.19429386
-3.9649499999999995,20023001.10326979
-3.9515999999999996,13045805.595368125
-3.9382499999999996,8355305.650280816
-3.9248999999999996,21431475.43626783
-3.9115499999999996,3538536.83954029
-3.8981999999999997,-15884387.080112092
-3.8848499999999997,-11234136.482286418
-3.8714999999999997,7637748.719398326
-3.8581499999999997,-16356938.538254928
-3.8447999999999998,-22142942.080855407
-3.83145,-2101488.233216128
-3.8181,1869802.1655471614
-3.80475,7070791.060421823
-3.7914,-2814952.119326684
-3.77805,3488288.2199521177
-3.7647,2564384.885374978
-3.7513499999999995,2340828.088973472
-3.7379999999999995,-8506615.564538108
-3.7246499999999996,-13837205.51478458
-3.7112999999999996,-3180887.3819409655
-3.6979499999999996,13518130.645452641
-3.6845999999999997,21421724.596170776
-3.6712499999999997,33237409.67796102
-3.6578999999999997,24657880.681410898
-3.6445499999999997,32036015.09267657
-3.6311999999999998,20375104.739311315
-3.61785,18120882.04742539
-3.6045,8663661.25505022
-3.59115,16335685.26309456
-3.5778,20198815.170112867
-3.56445,15934204.555687472
-3.5511,26508373.31738883
-3.53775,46180901.15175969
-3.5243999999999995,36982014.69698871
-3.5110499999999996,27829465.583064217
-3.4976999999999996,42036576.9540399
-3.4843499999999996,23759732.98085489
-3.4709999999999996,25736661.34824443
-3.4576499999999997,11796534.88225064
-3.4442999999999997,10270599.11153168
-3.4309499999999997,13979477.060125852
-3.4175999999999997,26481266.115688108
-3.4042499999999998,18149554.578474343
-3.3909,13797650.084080167
-3.37755,11273448.075251525
-3.3642,-2540298.245197156
-3.35085,-5039365.7556798365
-3.3375,629206.3444336423
-3.32415,11971417.290643897
-3.3108,22593899.891866907
-3.2974499999999995,21374297.378945373
-3.2840999999999996,13629234.354312968
-3.2707499999999996,18438764.795672454
-3.2573999999999996,1070035.6687273227
-3.2440499999999997,3208941.156084868
-3.2306999999999997,6583963.215750866
-3.2173499999999997,2022372.9252568032
-3.2039999999999997,1484705.1516454641
-3.1906499999999998,3337818.789789029
-3.1773,4822921.591043728
-3.16395,1198128.3050661613
-3.1506,1355305.9477790217
-3.13725,9917047.94398742
-3.1239,1937718.3048354385
-3.11055,3792825.3512705266
-3.0972,-1777947.0366948638
-3.08385,5375636.087292703
-3.0704999999999996,11984184.73460801
-3.0571499999999996,3196239.515844676
-3.0437999999999996,-18321130.298023634
-3.0304499999999996,-11379683.711011216
-3.0170999999999997,8472700.926920481
-3.0037499999999997,-10532774.899464084
-2.9903999999999997,-10701207.63456075
-2.9770499999999998,7239057.217654838
-2.9637,-783062.3254319071
-2.95035,6577212.796240492
-2.937,13341309.810842652
-2.92365,3558637.6652798345
-2.9103,-3863960.4217628064
-2.89695,8004115.328245951
-2.8836,-1063408.3136325884
-2.87025,-3880130.361170518
-2.8569,-10988967.916695995
-2.8435499999999996,1535488.0685507262
-2.8301999999999996,14425706.078104366
-2.8168499999999996,16361319.759931363
-2.8034999999999997,14879144.571235897
-2.7901499999999997,7108748.467357952
-2.7767999999999997,4668090.57528423
-2.7634499999999997,-767369.1141714214
-2.7500999999999998,-1783251.6622725942
-2.73675,3033439.2152453302
-2.7234,-4716947.46957267
-2.71005,1923665.376422718
-2.6967,-1374103.8358820407
-2.68335,-1122482.3759013936
-2.67,3190036.4195915633
-2.65665,5642489.25835541
-2.6433,7343628.983983106
-2.62995,18979587.8560503
-2.6165999999999996,24134913.255294476
-2.6032499999999996,13976070.132254146
-2.5898999999999996,23410886.866658933
-2.5765499999999997,17332629.044787485
-2.5631999999999997,14936081.26434406
-2.5498499999999997,-902969.7498411454
-2.5364999999999998,-9527207.14978848
-2.52315,-12946542.14216281
-2.5098,-3291839.6088708453
-2.49645,2026662.6612192884
-2.4831,-707134.9556127104
-2.46975,-2243155.582554502
-2.4564,-2309230.5254325955
-2.44305,-10703053.088442206
-2.4297,-5703568.71333746
-2.41635,-2226728.8505914025
-2.403,-5457827.483437478
-2.3896499999999996,-3017568.813774327
-2.3762999999999996,-7924616.599182007
-2.3629499999999997,-13431965.546527758
-2.3495999999999997,-5258694.213319138
-2.3362499999999997,2772700.3297951296
-2.3228999999999997,-22404865.867711578
-2.3095499999999998,4946962.163593756
-2.2962,-8008375.927353971
-2.28285,-34841393.05015669
-2.2695,-26201159.93667839
-2.25615,-4258395.05687864
-2.2428,5001160.119051985
-2.22945,-10219134.07168749
-2.2161,11836160.689644763
-2.20275,24820090.445823096
-2.1894,11375532.870718433
-2.17605,12822549.652712854
-2.1626999999999996,2297025.025114624
-2.1493499999999996,10389130.229546629
-2.1359999999999997,21615358.359836936
-2.1226499999999997,13375073.167515725
-2.1092999999999997,895124.8316988305
-2.0959499999999998,13228510.825678032
-2.0826,26577482.497962933
-2.06925,5824898.242968647
-2.0559,3905545.3591792155
-2.04255,-2449055.9197775
-2.0292,-8411378.267506242
-2.01585,614596.7669293949
-2.0025,5160553.395110894
-1.9891499999999998,-5306044.370787648
-1.9757999999999998,-5302919.7645329945
-1.9624499999999998,3661392.129559033
-1.9490999999999998,3865944.227087709
-1.9357499999999999,-869578.7544391492
-1.9223999999999999,-12168259.356576405
-1.90905,-675409.824417092
-1.8957,-393925.152437655
-1.88235,4108992.255937026
-1.8689999999999998,8113669.625896099
-1.8556499999999998,12232.591555333896
-1.8422999999999998,2881057.4477582867
-1.8289499999999999,11816120.079208862
-1.8155999999999999,5521504.148186073
-1.80225,4113555.01630133
-1.7889,-11050377.280211795
-1.77555,-7846848.032354616
-1.7621999999999998,9880575.834419876
-1.7488499999999998,-3578194.8467652192
-1.7354999999999998,2256114.9751979834
-1.7221499999999998,2548161.939755483
-1.7087999999999999,3975458.6740271496
-1.69545,-1224297.4630576882
-1.6821,2332642.6826681867
