Y (mm),Density at X = -0.200 mm (atoms/mm³)
-1.9891499999999998,394890580.83600396
-1.9757999999999998,181112616.1351369
-1.9624499999999998,523699311.82840896
-1.9490999999999998,310907544.7247967
-1.9357499999999999,379174961.58371663
-1.9223999999999999,429763905.3063185
-1.90905,265624537.76398212
-1.8957,326585200.1290151
-1.88235,135496275.76994756
-1.8689999999999998,340849520.33015484
-1.8556499999999998,445342042.2716341
-1.8422999999999998,259844271.26464167
-1.8289499999999999,488515648.80853033
-1.8155999999999999,509361813.8203508
-1.80225,537441592.1706071
-1.7889,430149014.1990179
-1.77555,275908390.76919657
-1.7621999999999998,534161011.89951754
-1.7488499999999998,232452905.995262
-1.7354999999999998,230225251.40515342
-1.7221499999999998,330076146.7101817
-1.7087999999999999,258286483.1685337
-1.69545,557340730.9871
-1.6821,352739187.1843886
-1.66875,302734599.7399263
-1.6554,456626893.58031976
-1.6420499999999998,346093992.67994046
-1.6286999999999998,520258974.79424274
-1.6153499999999998,419226871.8438273
-1.6019999999999999,352662343.2222428
-1.58865,302863670.85058844
-1.5753,192101739.20153657
-1.56195,59933067.54397822
-1.5486,237638524.48430037
-1.5352499999999998,286066480.48496324
-1.5218999999999998,85829520.56965192
-1.5085499999999998,-39232957.9469573
-1.4951999999999999,242032918.69085538
-1.48185,440909461.38766736
-1.4685,371867148.46444607
-1.45515,218345240.88458785
-1.4418,222087140.12534824
-1.42845,118541719.1871511
-1.4150999999999998,118032610.76805957
-1.4017499999999998,244379980.06711555
-1.3883999999999999,94037474.11613902
-1.3750499999999999,345947217.9079227
-1.3617,259624140.60366827
-1.34835,101012098.23628223
-1.335,259725866.40777943
-1.32165,336141536.42004156
-1.3082999999999998,168971625.6769999
-1.2949499999999998,170026046.28506055
-1.2815999999999999,352781446.5653339
-1.2682499999999999,525659393.2322208
-1.2549,269080398.857755
-1.24155,-154636660.66903704
-1.2282,-14740437.012809819
-1.21485,495632874.2936127
-1.2015,152492850.9588924
-1.1881499999999998,219963536.3775601
-1.1747999999999998,-92367705.16360074
-1.1614499999999999,174245025.87580383
-1.1481,-2397253.309840268
-1.13475,89674517.10137288
-1.1214,177094437.4192719
-1.10805,227558352.94051197
-1.0947,29845224.319535535
-1.0813499999999998,38592004.409600206
-1.0679999999999998,-82408069.09608734
-1.0546499999999999,-346866607.9305145
-1.0413,76196443.04446317
-1.02795,276530951.77670777
-1.0146,356116658.88492864
-1.00125,75429366.78381105
-0.9878999999999999,-246700438.3342933
-0.9745499999999999,135120640.14646438
-0.9611999999999999,-151574779.65398768
