Y (mm),Density at X = 6.101 mm (atoms/mm³)
-1.9891499999999998,10770860.954645066
-1.9757999999999998,16818117.711752724
-1.9624499999999998,18834700.548565228
-1.9490999999999998,17971663.934128653
-1.9357499999999999,29810656.04066315
-1.9223999999999999,34903480.97990765
-1.90905,33200631.73381642
-1.8957,20438969.461603224
-1.88235,10792242.708564306
-1.8689999999999998,21530886.538946323
-1.8556499999999998,15247572.114798376
-1.8422999999999998,16662564.877013054
-1.8289499999999999,23615342.66321765
-1.8155999999999999,2894159.5569780143
-1.80225,-9882959.475069562
-1.7889,-323088.75870806334
-1.77555,3265440.6687735114
-1.7621999999999998,-3909539.4146020734
-1.7488499999999998,7473670.125963199
-1.7354999999999998,5167254.991229562
-1.7221499999999998,7420372.566504058
-1.7087999999999999,10747952.642358936
-1.69545,8005243.9131620135
-1.6821,1183588.710356534
-1.66875,-863880.4749227657
-1.6554,2803087.216525484
-1.6420499999999998,-4064699.653310684
-1.6286999999999998,1700884.3480241173
-1.6153499999999998,7535856.16907602
-1.6019999999999999,4135858.802431424
-1.58865,-21857194.975300897
-1.5753,-2560080.245308744
-1.56195,-5281004.615790803
-1.5486,-10977612.071926722
-1.5352499999999998,-3949610.8102140436
-1.5218999999999998,424679.2225683594
-1.5085499999999998,1233713.9386410182
-1.4951999999999999,-10986564.476673614
-1.48185,-10394136.062208476
-1.4685,-13500598.858789116
-1.45515,-12229130.874833096
-1.4418,-3749473.5184233324
-1.42845,2784231.4092385895
-1.4150999999999998,1637583.7016497382
-1.4017499999999998,683028.3368612434
-1.3883999999999999,13867332.500524253
-1.3750499999999999,-2367726.2189117153
-1.3617,-1262344.2332111879
-1.34835,4341709.896420292
-1.335,10773253.598113373
-1.32165,8207255.53200967
-1.3082999999999998,1030391.2935990121
-1.2949499999999998,-2441214.8869127072
-1.2815999999999999,-639419.535142299
-1.2682499999999999,-6902966.67894383
-1.2549,-3973726.4029740496
-1.24155,1515269.9259678952
-1.2282,2637066.9500245573
-1.21485,13647626.767303532
-1.2015,6136682.1168922605
-1.1881499999999998,7196637.574972312
-1.1747999999999998,-2946181.2951574377
-1.1614499999999999,-21997064.198960796
-1.1481,-4550436.696729195
-1.13475,2530969.043186057
-1.1214,-7675124.288228375
-1.10805,-12614230.302118888
-1.0947,12127284.40909572
-1.0813499999999998,19232079.970583532
-1.0679999999999998,-8671492.826891879
-1.0546499999999999,-7377733.19018416
-1.0413,-6843320.637635407
-1.02795,10406740.577150585
-1.0146,18028157.547219884
-1.00125,1872520.925375938
-0.9878999999999999,5793316.708167639
-0.9745499999999999,19185020.844696116
-0.9611999999999999,16824674.09883705
-0.94785,25069009.683626715
-0.9344999999999999,1320841.8265695653
-0.9211499999999999,-5823551.419037819
-0.9077999999999999,2480121.7508204556
-0.89445,8039367.05175447
-0.8810999999999999,3085115.627346257
-0.8677499999999999,-12671492.862583732
-0.8543999999999999,-5848553.854898539
-0.84105,1289470.9639635738
-0.8277,4768855.696713525
-0.8143499999999999,-3168471.522387412
-0.8009999999999999,-7265144.907159195
-0.78765,-17918434.425211046
-0.7743,-11372498.56434959
-0.7609499999999999,-13906864.970700918
-0.7475999999999999,-13195828.650596606
-0.73425,-10710351.061742391
-0.7209,-3961924.601938598
-0.7075499999999999,-4196817.335318096
-0.6941999999999999,-8824736.506120564
-0.68085,-12647019.80146877
-0.6675,-19666777.8021544
-0.6541499999999999,-29369475.213752616
-0.6407999999999999,-34567803.316320375
-0.62745,-23154045.74063522
-0.6141,-14957576.60627608
-0.60075,-3001301.492810783
-0.5873999999999999,-7008817.770375902
-0.57405,-15640845.333459277
-0.5607,-17299941.108385146
-0.54735,-7908891.090133281
-0.5339999999999999,5832729.03869681
-0.52065,1584596.3013772238
-0.5073,1061529.0354798767
-0.49394999999999994,-6088653.522334065
-0.48059999999999997,-842481.3733140301
-0.46724999999999994,8179633.981592519
-0.45389999999999997,15700785.228496034
-0.44054999999999994,10134855.163858665
-0.42719999999999997,13162897.771211967
-0.41385,17792643.510614812
-0.40049999999999997,23738690.54605768
-0.38715,40855001.256167956
-0.37379999999999997,37828606.1568846
-0.36045,18778530.089791365
-0.34709999999999996,4335811.200446648
-0.33375,11847317.555055734
-0.32039999999999996,7617507.599397691
-0.30705,2704092.053033142
-0.29369999999999996,-7765233.104788618
-0.28035,-10696895.114924954
-0.26699999999999996,-4693730.929339109
-0.25365,2227103.48921562
-0.24029999999999999,446098.2373190467
-0.22694999999999999,-1694887.870547415
-0.21359999999999998,-2634387.5709331515
-0.20024999999999998,-4884498.87060718
-0.18689999999999998,1525948.6712912028
-0.17354999999999998,2087305.4275666995
-0.16019999999999998,-2091915.9345456052
-0.14684999999999998,-7121786.449597288
-0.13349999999999998,-12950525.501420137
-0.12014999999999999,-13838168.178274253
-0.10679999999999999,-15598002.923116367
-0.09344999999999999,-1301426.6236629405
-0.08009999999999999,9985699.974778311
-0.06674999999999999,3010999.6905147666
-0.053399999999999996,3008947.6974725537
-0.040049999999999995,4910363.588254169
-0.026699999999999998,5492772.040197538
-0.013349999999999999,3954976.786991648
0.0,-894793.2183777379
0.013349999999999999,3800229.1219551857
0.026699999999999998,9169990.599656347
0.040049999999999995,-73366.48985301823
0.053399999999999996,-8942205.637475586
0.06674999999999999,-12174377.832642697
0.08009999999999999,-9127142.14202459
0.09344999999999999,108297.41619580773
0.10679999999999999,-1339938.6324807112
0.12014999999999999,-10455928.302531062
0.13349999999999998,-8400647.62298876
0.14684999999999998,-4142014.1801324915
0.16019999999999998,-5298962.416849773
0.17354999999999998,-6241933.626915589
0.18689999999999998,-1904691.5922052271
0.20024999999999998,-2136995.0238431795
0.21359999999999998,-5808507.815017527
0.22694999999999999,4323836.249284074
0.24029999999999999,9764702.179355886
0.25365,12679144.516812952
0.26699999999999996,10730543.23897012
0.28035,15582827.414264804
0.29369999999999996,6701191.203936431
0.30705,-4608174.6968006985
0.32039999999999996,3634749.1713355915
0.33375,-2763094.6397579433
0.34709999999999996,-7802209.159419939
0.36045,-2501165.38152097
0.37379999999999997,-1375687.9132273467
0.38715,-4298186.8669463275
0.40049999999999997,-10306372.055179162
0.41385,-6011319.395663545
0.42719999999999997,138760.913357962
0.44054999999999994,848170.8579988696
0.45389999999999997,1115505.2623034597
0.46724999999999994,5633888.316262013
0.48059999999999997,-3050572.360018691
0.49394999999999994,-213295.7222908385
0.5073,-6129284.610570409
0.52065,-1356440.118462065
0.5339999999999999,-3588955.195110688
0.54735,3734677.484534184
0.5607,2787493.2781435265
0.57405,3241431.1688846787
0.5873999999999999,10212086.88192429
0.60075,10511758.706294913
0.6141,12496447.59032399
0.62745,29619755.767285544
0.6407999999999999,12055778.21854748
0.6541499999999999,3893779.0685760607
0.6675,30641204.490211736
0.68085,47527113.315626994
0.6941999999999999,42455106.49273356
0.7075499999999999,9866459.047328558
0.7209,13988028.990692763
0.73425,13775088.818453027
0.7475999999999999,-13695354.993744563
0.7609499999999999,-10129451.640396768
0.7743,-8117708.089381137
0.78765,554957.0590997941
0.8009999999999999,-15391552.175080797
0.8143499999999999,-1981424.7787196708
0.8277,7956200.066418858
0.84105,13359537.246394644
0.8543999999999999,26916363.273830704
0.8677499999999999,15401695.834022868
0.8810999999999999,13510145.806047019
0.89445,3402066.4954332756
0.9077999999999999,7942764.608914106
0.9211499999999999,3322756.1481564445
0.9344999999999999,13778867.130211094
0.94785,5531142.93000173
0.9611999999999999,2781204.7467995984
0.9745499999999999,7895311.013360623
0.9878999999999999,354179.649980217
1.00125,-8016114.447164406
1.0146,-1773982.4864644906
1.02795,-10571603.290575128
1.0413,-9779858.745187046
1.0546499999999999,-6091158.620888085
1.0679999999999998,4239251.038427313
1.0813499999999998,-12014239.825099668
1.0947,-2180831.8927280223
1.10805,1401478.950720131
1.1214,6448119.625723699
1.13475,-5224243.526200556
1.1481,-3311058.8171039354
1.1614499999999999,-3034171.088098907
1.1747999999999998,-4135322.285271657
1.1881499999999998,-2428178.7549961247
1.2015,-5709954.693380644
1.21485,-6673724.996869188
1.2282,733266.8469527579
1.24155,-8606832.709083322
1.2549,-5027146.851387796
1.2682499999999999,-12629053.684224328
1.2815999999999999,-7536183.159768792
1.2949499999999998,13729105.83943713
1.3082999999999998,20170272.020542562
1.32165,21107823.570047796
1.335,17891261.02856404
1.34835,1857467.1451164759
1.3617,5499787.576912386
1.3750499999999999,-7759092.550449826
1.3883999999999999,-7086078.601413705
1.4017499999999998,-6850594.505718277
1.4150999999999998,-9998341.9212053
1.42845,-5568630.347618593
1.4418,-13252390.710971715
1.45515,-13809357.27429529
1.4685,-6320583.195034031
1.48185,-2250416.775635845
1.4951999999999999,-20428926.90366204
1.5085499999999998,-20459482.500483908
1.5218999999999998,-1968811.2473892302
1.5352499999999998,-5094687.9192517325
1.5486,-7434276.362760405
1.56195,-7782453.715542655
1.5753,-12531185.077086706
1.58865,-3785774.991791986
1.6019999999999999,-7884719.437497935
1.6153499999999998,-2394123.755893166
1.6286999999999998,5288858.573131547
1.6420499999999998,3007699.2110622544
1.6554,2620925.8211891707
1.66875,11050177.113496989
1.6821,13693376.636105428
1.69545,5753911.555553824
1.7087999999999999,-10647684.282583557
1.7221499999999998,-15527214.7710935
1.7354999999999998,-14708755.416529661
1.7488499999999998,-11392541.29885258
1.7621999999999998,-3453727.2381316433
1.77555,-429059.44900193514
1.7889,6390173.173644394
1.80225,13488078.15693377
1.8155999999999999,19993618.23948582
1.8289499999999999,824661.7240476398
1.8422999999999998,-13278761.738368679
1.8556499999999998,-19920147.51889734
1.8689999999999998,-8650831.59608861
1.88235,-447277.5403684277
1.8957,9394259.974825028
1.90905,14925533.415891953
1.9223999999999999,652319.2338304436
1.9357499999999999,-14130024.48012854
1.9490999999999998,-10725674.785005076
1.9624499999999998,-9338865.684964031
1.9757999999999998,-14476181.918220103
1.9891499999999998,-15504755.458909616
2.0025,-13665818.139493257
2.01585,-17329543.487701982
2.0292,-8020377.493754093
2.04255,6125939.377917142
2.0559,17917212.211662415
2.06925,4713548.171942258
2.0826,-8067321.908873158
2.0959499999999998,-8126241.68575869
2.1092999999999997,-15909105.571857665
2.1226499999999997,-3561474.0035690903
2.1359999999999997,-3831040.2390140435
2.1493499999999996,-14620413.781350983
2.1626999999999996,-2099464.692447124
2.17605,1034408.0200694528
2.1894,7194520.85586264
2.20275,-1754189.511702526
2.2161,-6088508.16311464
2.22945,-1162345.976837653
2.2428,-4084561.047447868
2.25615,-192855.10159099198
2.2695,-4032157.611164277
2.28285,12510689.000383027
2.2962,10701158.554800784
2.3095499999999998,-4052316.479297994
2.3228999999999997,-13407981.784005063
2.3362499999999997,-14937944.173182707
2.3495999999999997,-1082324.708243175
2.3629499999999997,632130.591820585
2.3762999999999996,3162316.3827308696
2.3896499999999996,3716343.9069139455
2.403,2367095.552302036
2.41635,5780852.263094031
2.4297,-1649179.9704464132
2.44305,-1179446.1674439555
2.4564,2763900.1006396124
2.46975,5483697.799977362
2.4831,19838864.39485971
2.49645,35629080.76571921
2.5098,35304441.8731025
2.52315,21436629.63653574
2.5364999999999998,12898391.49357505
2.5498499999999997,668902.2165493319
2.5631999999999997,-6993595.5897967275
2.5765499999999997,10130909.663640505
2.5898999999999996,2534927.9773876704
2.6032499999999996,20745965.46580337
2.6165999999999996,37450256.684760824
2.62995,38782871.02100707
2.6433,26631062.285163496
2.65665,15776350.291242499
2.67,7840261.707294392
2.68335,2152034.363440772
2.6967,-14692814.460240934
2.71005,-16107697.113655256
2.7234,-23013152.70088661
2.73675,-5257530.362590274
2.7500999999999998,-3303224.312288298
2.7634499999999997,2047774.9553154244
2.7767999999999997,-1265564.4404166325
2.7901499999999997,7639364.886589986
2.8034999999999997,18580272.788651925
2.8168499999999996,1771163.7580135402
2.8301999999999996,-7942360.02157548
2.8435499999999996,-3885390.9202455757
2.8569,-5995186.733153274
2.87025,-557530.8184906904
2.8836,2819936.392329314
2.89695,14031390.469395395
2.9103,5758971.3813840365
2.92365,-1355690.4753868813
2.937,928993.6937289436
2.95035,-1019054.6897577444
2.9637,850333.4440771566
2.9770499999999998,6546774.33504437
2.9903999999999997,4590097.288403865
