Time - Plot 0	Amplitude - Plot 0	
300	318151	
301	317313	
302	317195	
303	316661	
304	316178	
305	317939	
306	323127	
307	317866	
308	318088	
309	316989	
310	317820	
311	317023	
312	316795	
313	317243	
314	317432	
315	318248	
316	317322	
317	317413	
318	318690	
319	318561	
320	318072	
321	318794	
322	318114	
323	318587	
324	319284	
325	318354	
326	318308	
327	318556	
328	318420	
329	318698	
330	320454	
331	319116	
332	317378	
333	318899	
334	319013	
335	319324	
336	320364	
337	318653	
338	318057	
339	318731	
340	319043	
341	317928	
342	319083	
343	318322	
344	319534	
345	320703	
346	319192	
347	319268	
348	320198	
349	320413	
350	319400	
351	319650	
352	320472	
353	320407	
354	318770	
355	318503	
356	319644	
357	319615	
358	319106	
359	319678	
360	319060	
361	319649	
362	319741	
363	319313	
364	320981	
365	319281	
366	320484	
367	319938	
368	320274	
369	320163	
370	319074	
371	320271	
372	320173	
373	319679	
374	319354	
375	319477	
376	321221	
377	321624	
378	319551	
379	318119	
380	320844	
381	319779	
382	321089	
383	320496	
384	320846	
385	321424	
386	322149	
387	320767	
388	320601	
389	320066	
390	320814	
391	319704	
392	320038	
393	320098	
394	321536	
395	321130	
396	322365	
397	320938	
398	321567	
399	321997	
400	321443	
401	321957	
402	322055	
403	322776	
404	322965	
405	322597	
406	322952	
407	322153	
408	322943	
409	321396	
410	322505	
411	321548	
412	322173	
413	322055	
414	322032	
415	322022	
416	323870	
417	322484	
418	322524	
419	322566	
420	322366	
421	324063	
422	323501	
423	323452	
424	323478	
425	323943	
426	323177	
427	324387	
428	324746	
429	323455	
430	323340	
431	324075	
432	324646	
433	326158	
434	326382	
435	326803	
436	326146	
437	327327	
438	325870	
439	325688	
440	325802	
441	326046	
442	326236	
443	325886	
444	325856	
445	327526	
446	328598	
447	327489	
448	327669	
449	329468	
450	328205	
451	328971	
452	328972	
453	327901	
454	328504	
455	329824	
456	329544	
457	329702	
458	329426	
459	330036	
460	329799	
461	330494	
462	331243	
463	336105	
464	331635	
465	331774	
466	333648	
467	331505	
468	332234	
469	333821	
470	334223	
471	334533	
472	335792	
473	334020	
474	335884	
475	335571	
476	337151	
477	336946	
478	337656	
479	338686	
480	337988	
481	339342	
482	341108	
483	342121	
484	342663	
485	342672	
486	342176	
487	343475	
488	344834	
489	346560	
490	345231	
491	345196	
492	346463	
493	347385	
494	348804	
495	349522	
496	350731	
497	351517	
498	350824	
499	353446	
500	353989	
501	356459	
502	357377	
503	356222	
504	358671	
505	357437	
506	361133	
507	362863	
508	363440	
509	365728	
510	366643	
511	368967	
512	369981	
513	369410	
514	372227	
515	373694	
516	374224	
517	376594	
518	376683	
519	380095	
520	381463	
521	383792	
522	384885	
523	385519	
524	386440	
525	390602	
526	392245	
527	395699	
528	394924	
529	397463	
530	399428	
531	402913	
532	403181	
533	407424	
534	408156	
535	409704	
536	413878	
537	415362	
538	417302	
539	421887	
540	422543	
541	427557	
542	428275	
543	432443	
544	434588	
545	437527	
546	440633	
547	443931	
548	447741	
549	450915	
550	454179	
551	457039	
552	459511	
553	464490	
554	465260	
555	469373	
556	472443	
557	476320	
558	480311	
559	484883	
560	486007	
561	488640	
562	493907	
563	496081	
564	502692	
565	505124	
566	511846	
567	513134	
568	516021	
569	521018	
570	523779	
571	528678	
572	534225	
573	538981	
574	550245	
575	546245	
576	551481	
577	555852	
578	560379	
579	564726	
580	571967	
581	575594	
582	580362	
583	582685	
584	588655	
585	591474	
586	599900	
587	602979	
588	607041	
589	615841	
590	619898	
591	623994	
592	628793	
593	633605	
594	640901	
595	644717	
596	650737	
597	656316	
598	662766	
599	667579	
600	672430	
601	675436	
602	683468	
603	688370	
604	696259	
605	699734	
606	703199	
607	710171	
608	715297	
609	723793	
610	727813	
611	734755	
612	740210	
613	746086	
614	752706	
615	756246	
616	763682	
617	769662	
618	778666	
619	781621	
620	790278	
621	793206	
622	797553	
623	804985	
624	813396	
625	817944	
626	827868	
627	831363	
628	838219	
629	844277	
630	853820	
631	853527	
632	863768	
633	874301	
634	877522	
635	883302	
636	887610	
637	890074	
638	899789	
639	907631	
640	914630	
641	921036	
642	926346	
643	934657	
644	936757	
645	945332	
646	948444	
647	959262	
648	962429	
649	971974	
650	979921	
651	983251	
652	989305	
653	993318	
654	1001594	
655	1008977	
656	1016536	
657	1021952	
658	1028553	
659	1033149	
660	1039247	
661	1046667	
662	1047548	
663	1054395	
664	1062275	
665	1065944	
666	1072615	
667	1075481	
668	1082347	
669	1086798	
670	1096600	
671	1103038	
672	1106101	
673	1111208	
674	1117172	
675	1118564	
676	1123401	
677	1129881	
678	1133764	
679	1139077	
680	1149147	
681	1151262	
682	1157761	
683	1156183	
684	1159025	
685	1165458	
686	1168335	
687	1171132	
688	1178647	
689	1186424	
690	1184664	
691	1189141	
692	1188427	
693	1193665	
694	1202439	
695	1204408	
696	1207543	
697	1210398	
698	1208461	
699	1211526	
700	1217310	
701	1221164	
702	1220001	
703	1224928	
704	1230595	
705	1229227	
706	1232104	
707	1233872	
708	1232764	
709	1237683	
710	1244213	
711	1244387	
712	1243567	
713	1241876	
714	1245564	
715	1242881	
716	1245562	
717	1246733	
718	1245124	
719	1252081	
720	1252493	
721	1253733	
722	1253252	
723	1250571	
724	1250846	
725	1252680	
726	1253877	
727	1253975	
728	1252972	
729	1253519	
730	1251405	
731	1251761	
732	1253740	
733	1251090	
734	1253792	
735	1246861	
736	1249841	
737	1244513	
738	1242824	
739	1242715	
740	1242862	
741	1239149	
742	1240497	
743	1238278	
744	1234970	
745	1232643	
746	1232512	
747	1227926	
748	1228047	
749	1222967	
750	1224610	
751	1218121	
752	1216672	
753	1212031	
754	1206332	
755	1210274	
756	1203352	
757	1198996	
758	1196308	
759	1194453	
760	1188597	
761	1181703	
762	1180067	
763	1177012	
764	1172594	
765	1172011	
766	1167063	
767	1161135	
768	1155033	
769	1155442	
770	1148141	
771	1145399	
772	1141675	
773	1139267	
774	1131379	
775	1124572	
776	1121718	
777	1115767	
778	1111355	
779	1102670	
780	1102122	
781	1096780	
782	1092679	
783	1083060	
784	1079581	
785	1073115	
786	1072460	
787	1065452	
788	1060834	
789	1056924	
790	1049808	
791	1042772	
792	1037751	
793	1033749	
794	1027492	
795	1022228	
796	1017982	
797	1011539	
798	1008667	
799	999826	
800	992315	
801	989253	
802	983084	
803	976347	
804	973086	
805	965053	
806	960501	
807	950275	
808	946730	
809	938581	
810	935072	
811	927248	
812	924626	
813	919616	
814	910870	
815	906103	
816	896902	
817	892876	
818	888357	
819	882807	
820	873962	
821	868143	
822	865501	
823	854529	
824	854086	
825	846864	
826	841257	
827	833776	
828	831011	
829	824413	
830	818633	
831	811518	
832	806928	
833	800419	
834	798106	
835	790065	
836	785374	
837	776352	
838	773742	
839	765448	
840	760645	
841	754449	
842	747755	
843	744710	
844	737751	
845	731821	
846	726463	
847	720088	
848	716323	
849	709555	
850	705808	
851	700178	
852	697162	
853	689630	
854	683926	
855	680205	
856	675436	
857	670041	
858	666716	
859	658627	
860	654807	
861	648909	
862	644796	
863	639906	
864	634276	
865	630905	
866	627561	
867	620139	
868	614647	
869	611089	
870	604926	
871	604536	
872	597874	
873	597881	
874	589088	
875	581783	
876	581333	
877	574128	
878	569563	
879	565033	
880	563393	
881	555695	
882	554618	
883	548997	
884	544766	
885	540839	
886	539249	
887	533088	
888	530210	
889	526417	
890	524468	
891	519629	
892	515495	
893	512249	
894	511291	
895	504195	
896	501064	
897	498519	
898	494593	
899	490979	
900	487719	
901	483805	
902	481581	
903	477711	
904	474716	
905	472527	
906	469070	
907	465138	
908	462842	
909	460140	
910	457360	
911	454460	
912	451159	
913	447685	
914	446627	
915	442799	
916	442661	
917	438918	
918	436456	
919	433289	
920	432973	
921	429728	
922	426632	
923	423789	
924	422991	
925	419546	
926	418616	
927	416537	
928	414274	
929	412358	
930	410161	
931	406692	
932	406726	
933	405102	
934	402322	
935	401302	
936	397331	
937	396408	
938	395171	
939	391956	
940	388654	
941	388665	
942	387122	
943	386236	
944	384186	
945	382954	
946	379856	
947	379795	
948	378965	
949	377616	
950	374588	
951	374223	
952	372775	
953	371796	
954	369251	
955	368254	
956	367780	
957	366228	
958	365253	
959	362026	
960	363072	
961	361487	
962	359117	
963	358497	
964	357779	
965	355371	
966	356899	
967	355543	
968	353950	
969	352530	
970	351760	
971	352786	
972	351333	
973	350074	
974	349668	
975	348276	
976	347902	
977	347766	
978	346022	
979	344767	
980	343436	
981	344660	
982	343655	
983	340968	
984	340830	
985	340357	
986	339568	
987	336958	
988	338287	
989	336851	
990	335930	
991	337289	
992	336030	
993	335753	
994	335630	
995	336201	
996	334832	
997	333229	
998	334676	
999	331632	
1000	330840	
1001	331121	
1002	331236	
1003	329938	
1004	330385	
1005	329228	
1006	330465	
1007	328338	
1008	327547	
1009	330490	
1010	327671	
1011	328278	
1012	326917	
1013	327415	
1014	325104	
1015	324498	
1016	325382	
1017	324657	
1018	324512	
1019	324391	
1020	324209	
1021	322747	
1022	323516	
1023	323312	
1024	323024	
1025	322652	
1026	322024	
1027	321451	
1028	322131	
1029	321824	
1030	321658	
1031	321304	
1032	320703	
1033	321130	
1034	321762	
1035	322566	
1036	320877	
1037	320575	
1038	320541	
1039	318458	
1040	318857	
1041	319523	
1042	318343	
1043	320186	
1044	318431	
1045	318041	
1046	318248	
1047	317132	
1048	317671	
1049	318051	
1050	316131	
1051	317125	
1052	317651	
1053	317529	
1054	317362	
1055	318356	
1056	316260	
1057	316791	
1058	317090	
1059	316397	
1060	319000	
1061	314180	
1062	315525	
1063	315722	
1064	314821	
1065	314151	
1066	313494	
1067	313856	
1068	313287	
1069	314229	
1070	314245	
1071	314366	
1072	313983	
1073	315373	
1074	314547	
1075	314288	
1076	312857	
1077	315209	
1078	313825	
1079	313494	
